external_id,name,license_plate_number,make_name,model_name,fuel_type,body_type
3502469456,Con Loddon,49-ex-26,Ford,Escort,petrol,
1619090474,Nilson Doornbos,99-ik-19,Chrysler,Town & Country,electric,
4009415136,Ignacius Bispham,63-ga-55,Mitsubishi,Montero Sport,lpg,
1881116973,Muffin Crothers,96-lu-23,Jaguar,X-Type,electric,
2642033126,Wenona Christer,68-ic-32,Plymouth,Colt Vista,diesel,
1910129024,Carley O' Liddy,35-mz-71,Chevrolet,Camaro,diesel,
3405042565,Fiorenze Warde,82-jv-04,GMC,Suburban 2500,electric,
2856800771,Neddy Quade,59-pj-14,Hyundai,Elantra,electric,
8440373416,Thorn Cairns,98-kd-30,Volvo,V70,electric,
515637464,Filip Wenden,96-ig-09,Dodge,Grand Caravan,lpg,
1937958290,Samson Birtwell,89-tn-11,Chevrolet,Corvette,lpg,
3491615109,Bil Cokayne,44-ql-49,Dodge,Grand Caravan,electric,
4949903495,Rafaello Zarfai,28-hl-80,GMC,Savana 1500,diesel,
2064033515,Holly Wansbury,01-yp-71,Mercury,Grand Marquis,diesel,
9786746917,Amalee Dufton,87-hz-90,Kia,Sorento,electric,
3036532722,Sigrid Jon,60-ja-85,GMC,Sierra 1500,lpg,
5716982577,Em Hendrick,09-gv-94,Chevrolet,Suburban 2500,lpg,
1725867396,Sari Abbotts,46-hx-17,GMC,Savana 3500,lpg,
3829701658,Bradley Havvock,92-kb-50,Ford,Escape,diesel,
971929147,Rickie Hollindale,53-kd-00,Hyundai,Elantra,lpg,
9566076640,Dela Moret,27-gm-80,Porsche,911,lpg,
391888887,Abbe Tregunna,14-ya-88,Hyundai,Tiburon,electric,
2363911948,Felecia McCloid,51-ao-41,Aston Martin,V8 Vantage,lpg,
6954792134,Eliza Quemby,61-dw-16,Toyota,Matrix,electric,
8683829534,Melania Treen,78-nv-59,Mazda,RX-7,petrol,
3503173367,Cobb Ackers,58-na-24,Mercury,Mystique,lpg,
5074739276,Josselyn Hardwick,64-ij-55,Ford,Transit Connect,petrol,
7804479408,Patrica Bane,61-bk-81,Lincoln,LS,lpg,
7282741502,Jodee Gonet,33-zl-42,Ford,E150,electric,
962148871,Brady Wagnerin,83-ih-17,Chevrolet,TrailBlazer,diesel,
1435890219,Kizzee Lorentz,68-hi-44,Pontiac,Sunbird,petrol,
8492165209,Leonhard Franies,07-uj-49,Suzuki,X-90,lpg,
7754559254,Klarrisa Gourley,75-ii-30,Land Rover,Discovery,electric,
3934484269,Sissie Vasyuchov,93-ga-45,Toyota,FJ Cruiser,diesel,
6828016363,Demetris Petteford,65-sy-12,Aston Martin,DBS,diesel,
6242257871,Aleece Menchenton,40-mj-03,Mazda,MX-6,electric,
2999171535,Almeria Petroff,30-qz-69,Lotus,Esprit,diesel,
1427799102,Marney Selburn,30-oh-89,Ford,Thunderbird,diesel,
