car id,Car VIN,car make,model,fuel,Amount of trips,license plate,Driver name
3502469456,WA1LMAFE1BD042211,Ford,Escort,petrol,401,49-ex-26,Con Loddon
1619090474,1N6AA0CC3AN664740,Chrysler,Town & Country,electric,109,99-ik-19,Nilson Doornbos
4009415136,WVWAA7AH6AV217510,Mitsubishi,Montero Sport,lpg,748,63-ga-55,Ignacius Bispham
1881116973,WBANV13528C281665,Jaguar,X-Type,electric,825,96-lu-23,Muffin Crothers
2642033126,1GD311CG1FZ424540,Plymouth,Colt Vista,diesel,74,68-ic-32,Wenona Christer
1910129024,1C4RDHEGXFC786865,Chevrolet,Camaro,diesel,11,35-mz-71,Carley O' Liddy
3405042565,JN8AZ2KR3DT442247,GMC,Suburban 2500,electric,61,82-jv-04,Fiorenze Warde
2856800771,1GTC5MF99C8681745,Hyundai,Elantra,electric,61,59-pj-14,Neddy Quade
8440373416,2G4WE587681270226,Volvo,V70,electric,111,98-kd-30,Thorn Cairns
515637464,1G6DL8ED4B0033382,Dodge,Grand Caravan,lpg,171,96-ig-09,Filip Wenden
1937958290,JH4DC53802C052347,Chevrolet,Corvette,lpg,131,89-tn-11,Samson Birtwell
3491615109,WBANA53565C894905,Dodge,Grand Caravan,electric,791,44-ql-49,Bil Cokayne
4949903495,1G4PS5SK1D4193628,GMC,Savana 1500,diesel,34,28-hl-80,Rafaello Zarfai
2064033515,JTDKTUD34ED904610,Mercury,Grand Marquis,diesel,478,01-yp-71,Holly Wansbury
9786746917,1FTMF1CW9AK510467,Kia,Sorento,electric,910,87-hz-90,Amalee Dufton
3036532722,JHMFB4F24CS359623,GMC,Sierra 1500,lpg,548,60-ja-85,Sigrid Jon
5716982577,WAUDL74F55N680761,Chevrolet,Suburban 2500,lpg,721,09-gv-94,Em Hendrick
1725867396,JN8CS1MU7FM052211,GMC,Savana 3500,lpg,923,46-hx-17,Sari Abbotts
3829701658,1G6KD57Y52U645912,Ford,Escape,diesel,871,92-kb-50,Bradley Havvock
971929147,JN1AZ4EH1EM781338,Hyundai,Elantra,lpg,516,53-kd-00,Rickie Hollindale
